Log#,Incident Date & Time,District of Occurrence,COPA Notification Date,Transparency Release Date,Closed Date,FSR/Memo Posted Date,case_url,pdf_available,pdf_url
1081333,07/07/2016 1:26 pm,10,07/07/2016,09/05/2016,03/31/2017,01/04/2023,https://www.chicagocopa.org/case/1081333/,Available,https://www.chicagocopa.org/investigations/how-to-read-a-case-summary-report/
1081009,10/10/2015 7:40 pm,8,06/15/2016,08/15/2016,03/30/2018,01/04/2023,https://www.chicagocopa.org/case/1081009/,Available,https://www.chicagocopa.org/investigations/how-to-read-a-case-summary-report/
1075350,04/19/2014 1:25 am,8,05/26/2015,08/12/2016,11/13/2018,01/04/2023,https://www.chicagocopa.org/case/1075350/,Available,https://www.chicagocopa.org/investigations/how-to-read-a-case-summary-report/
1080674,05/05/2016 1:26 pm,3,05/25/2016,07/25/2016,10/21/2016,12/27/2022,https://www.chicagocopa.org/case/1080674/,Available,https://www.chicagocopa.org/investigations/how-to-read-a-case-summary-report/
1080505,05/12/2016 12:00 pm,22,05/12/2016,07/11/2016,10/21/2016,12/27/2022,https://www.chicagocopa.org/case/1080505/,Available,https://www.chicagocopa.org/investigations/how-to-read-a-case-summary-report/
1080476,05/10/2016 10:41 pm,19,05/11/2016,07/08/2016,10/21/2016,12/27/2022,https://www.chicagocopa.org/case/1080476/,Available,https://www.chicagocopa.org/investigations/how-to-read-a-case-summary-report/
1080437,05/07/2016 3:03 pm,1,05/07/2016,07/07/2016,04/30/2017,12/23/2022,https://www.chicagocopa.org/case/1080437/,Available,https://www.chicagocopa.org/investigations/how-to-read-a-case-summary-report/
1080395,05/04/2016 1:06 pm,11,05/04/2016,07/01/2016,10/20/2016,12/23/2022,https://www.chicagocopa.org/case/1080395/,Available,https://www.chicagocopa.org/investigations/how-to-read-a-case-summary-report/
1080144,04/15/2016 10:27 pm,11,04/15/2016,06/14/2016,10/21/2016,12/23/2022,https://www.chicagocopa.org/case/1080144/,Available,https://www.chicagocopa.org/investigations/how-to-read-a-case-summary-report/
1076072,07/09/2015 11:34 pm,6,07/10/2015,,09/29/2017,10/27/2017,https://www.chicagocopa.org/case/1076072/,Available,https://www.chicagocopa.org/investigations/how-to-read-a-case-summary-report/
1073710,02/09/2015 3:30 am,Other,02/09/2015,06/03/2016,11/04/2015,11/22/2022,https://www.chicagocopa.org/case/1073710/,Available,https://www.chicagocopa.org/investigations/how-to-read-a-case-summary-report/
